Designator,Mid X,Mid Y,Rotation,Layer
C1,121.0,-80.75,0.0,top
C2,156.59,-71.69,90.0,top
C3,170.0375,-73.6,180.0,top
J1,149.5,-73.8375,0.0,top
J2,140.4,-68.05,270.0,top
J3,140.43,-87.55,270.0,top
J4,164.32,-87.55,90.0,top
J5,170.8,-78.67,0.0,top
R1,169.5,-67.3,0.0,top
R2,176.15,-72.6,0.0,top
R3,176.15,-67.2,0.0,top
R4,176.15,-69.9,0.0,top
R5,121.0,-77.0,0.0,top
R6,121.0,-73.25,0.0,top
U1,135.98,-77.9,180.0,top
U3,177.065,-78.625,0.0,top
U4,160.4,-78.4,0.0,top
